,idhod,hodnota,ukaz_kod,uzemi_cis,uzemi_kod,sldb_rok,ukaz_txt,uzemi_txt
0,964632166,4628,3162,101,40169,2021,Počet obyvatel s obvyklým pobytem,Benešov
1,964704572,4485,3162,101,40177,2021,Počet obyvatel s obvyklým pobytem,Beroun
2,964675015,7941,3162,101,40185,2021,Počet obyvatel s obvyklým pobytem,Kladno
3,964703858,4882,3162,101,40193,2021,Počet obyvatel s obvyklým pobytem,Kolín
4,964618666,3332,3162,101,40207,2021,Počet obyvatel s obvyklým pobytem,Kutná Hora
5,964618805,5300,3162,101,40215,2021,Počet obyvatel s obvyklým pobytem,Mělník
6,964690628,5846,3162,101,40223,2021,Počet obyvatel s obvyklým pobytem,Mladá Boleslav
7,964703449,5138,3162,101,40231,2021,Počet obyvatel s obvyklým pobytem,Nymburk
8,964632712,10182,3162,101,40240,2021,Počet obyvatel s obvyklým pobytem,Praha-východ
9,964646712,8582,3162,101,40258,2021,Počet obyvatel s obvyklým pobytem,Praha-západ
10,964689526,5518,3162,101,40266,2021,Počet obyvatel s obvyklým pobytem,Příbram
11,964647793,2520,3162,101,40274,2021,Počet obyvatel s obvyklým pobytem,Rakovník
12,964619347,8985,3162,101,40282,2021,Počet obyvatel s obvyklým pobytem,České Budějovice
13,964633778,3011,3162,101,40291,2021,Počet obyvatel s obvyklým pobytem,Český Krumlov
14,964704823,4236,3162,101,40304,2021,Počet obyvatel s obvyklým pobytem,Jindřichův Hradec
15,964647788,3267,3162,101,40312,2021,Počet obyvatel s obvyklým pobytem,Písek
16,964662346,2454,3162,101,40321,2021,Počet obyvatel s obvyklým pobytem,Prachatice
17,964705233,3350,3162,101,40339,2021,Počet obyvatel s obvyklým pobytem,Strakonice
18,964705559,4779,3162,101,40347,2021,Počet obyvatel s obvyklým pobytem,Tábor
19,964632998,2736,3162,101,40355,2021,Počet obyvatel s obvyklým pobytem,Domažlice
20,964660464,4133,3162,101,40363,2021,Počet obyvatel s obvyklým pobytem,Klatovy
21,964690499,8017,3162,101,40371,2021,Počet obyvatel s obvyklým pobytem,Plzeň-město
